Password;Length;Has_Uppercase;Has_Special;Security_Score
6{6WlcV*]epvv@;14;1;1;5
mlGhtOdDj;9;1;0;3
zi=n&bY`eNGh;12;1;1;5
gqbni;5;0;0;1
1=0hp=p|Pizbf@]M;16;1;1;5
mMUgRfneo;9;1;0;3
6FlNsnfA;8;1;0;3
%1NIsVY8Tu?]2HJLzQ;18;1;1;5
3ha7;4;0;0;1
yoSur7Vr9F;10;1;0;3
Sf3NlbQHK;9;1;0;3
caeLixyK;8;1;0;3
0Iwy:,J@*>LnvGDga;17;1;1;5
frtgos;6;0;0;1
s2xnj2c;7;0;0;1
hW\^{siOXjdR<za;15;1;1;5
aebh4;5;0;0;1
newrhIcy;8;1;0;3
ZMS0HWUHP;9;1;0;3
"!\66k#j:~""2:";12;0;1;4
o}d],%}5lt-ma;13;0;1;4
Q7CYGfjZA;9;1;0;3
*AINEk:^sg1+5[;14;1;1;5
Kq3AeneB5Aj;11;1;0;3
gbxkka;6;0;0;1
bbmo6i0;7;0;0;1
bBFVVP79M;9;1;0;3
48nyjr;6;0;0;1
nuae;4;0;0;1
HPOh4Kdzm;9;1;0;3
7dfWcVHaQ;9;1;0;3
'*+{jc@g[qWdB>)]i;17;1;1;5
amjwtr;6;0;0;1
/j76gx\!6MM3^5g;15;1;1;5
"COBqvrjIev;u#+vN";16;1;1;5
1z8snin;7;0;0;1
Hx2EsR5Vvj;10;1;0;3
fykdp;5;0;0;1
??C.n%ZQmCO@8&&u;16;1;1;5
bjjj11BmgzL;11;1;0;3
4UQnLC6hoME;11;1;0;3
52f8;4;0;0;1
QeO97HQG;8;1;0;3
C/@@=@/%lj_7Q;13;1;1;5
0kgnz;5;0;0;1
t2yq;4;0;0;1
bPnMyeHkkWh;11;1;0;3
IVW218I59NA;11;1;0;3
w1wrrowsnkx;11;0;0;2
ldjPwsz7I;9;1;0;3
9HXCUUxI;8;1;0;3
g6z3;4;0;0;1
TWZpJBJtN;9;1;0;3
jb4m;4;0;0;1
3P#nM,%oI`Ou;12;1;1;5
krKWZhmCS;9;1;0;3
"@SppKyX\]vvDv;hR";16;1;1;5
sd06ict;7;0;0;1
p2x1zig;7;0;0;1
HoHHiUL2et;10;1;0;3
hwve;4;0;0;1
I@c[.2~=`nbPQKRqe;17;1;1;5
cwMWbPW258l;11;1;0;3
EpvMLMy15f;10;1;0;3
9qnl2avif;9;0;0;2
kvhv5t;6;0;0;1
esqoxi;6;0;0;1
"8r(ps{em'exUz^;""";16;1;1;5
3k3Q6FUY1wH;11;1;0;3
pppmg;5;0;0;1
GOZlJT1v0;9;1;0;3
3PEnvcBLJ;9;1;0;3
>HK@:!K#G<'Ub1y;15;1;1;5
oKPw6Mu7mz;10;1;0;3
x93em49;7;0;0;1
v2pnnvu;7;0;0;1
Rxt=gdwDp2RdOmza|;17;1;1;5
6ygGQDYRx;9;1;0;3
<^{Bz?7QMdYPlI;14;1;1;5
l4HAzNc6;8;1;0;3
LuQuYTAopgu;11;1;0;3
v77a;4;0;0;1
5JbCMKqeSVn;11;1;0;3
nv3wsr;6;0;0;1
"$oFor](""G'2FAqp3LI";18;1;1;5
q70l4zl;7;0;0;1
SBWO8UoJB;9;1;0;3
u58p7mi;7;0;0;1
LK7-:f\u8(+s;12;1;1;5
oQteZnBn3;9;1;0;3
9pzr;4;0;0;1
8xHdGOIbgO;10;1;0;3
Lb['0od82VgvV;13;1;1;5
3)DIoe71Se[e78;14;1;1;5
SR8BefVne;9;1;0;3
VHKd6ud105;10;1;0;3
iMA<(,sk2_M}yg%Ln;17;1;1;5
"\4>c:0}5""{Ks?e@q|`";18;1;1;5
XMaXQL1BvLU;11;1;0;3
"QAgbcCzsK;o.}";13;1;1;5
ir8o;4;0;0;1
z1q76jt;7;0;0;1
s491h;5;0;0;1
qy9LggQiPo;10;1;0;3
wFG2lVclXoz;11;1;0;3
NLoUmiD6;8;1;0;3
s1aiam;6;0;0;1
d4rK7u2hKm1;11;1;0;3
v(x3hj(tqUk{bcYW+v;18;1;1;5
".~wG)""\(.'=B*%dgAH";18;1;1;5
QIJmga3M;8;1;0;3
"3{F)""UzdDD)_xP";14;1;1;5
%f\fXa@7C6HwjybQWm;18;1;1;5
}o+ON27&tyGpS;13;1;1;5
mFesFv5mxi;10;1;0;3
<XW.d+Z!U^svkV;14;1;1;5
1WbyY39PyA;10;1;0;3
d02yUHR7dV;10;1;0;3
NMYEBTcMs5z;11;1;0;3
7v59pdngqs;10;0;0;2
4pR8BLIs;8;1;0;3
noSDM2i6Q;9;1;0;3
a6yf;4;0;0;1
i8Dz95Yi;8;1;0;3
0roouw;6;0;0;1
tczc;4;0;0;1
Dt4QkLdq;8;1;0;3
LOu9oNivk;9;1;0;3
7m4mg;5;0;0;1
bqU2sHTOu;9;1;0;3
%8_~m]821K[<n^&#;16;1;1;5
aPgcFSVV6gh;11;1;0;3
lkq6;4;0;0;1
i0mn2;5;0;0;1
49zrv;5;0;0;1
p9s$^M^HKFqkPK[F;16;1;1;5
_GW<)kNWJNS-6#_G};17;1;1;5
"i}1y`9%Krxz%""&G)u,";18;1;1;5
dJOPKSU7u;9;1;0;3
dcN./G|fUBGLVYax\F;18;1;1;5
tdin;4;0;0;1
fygihb;6;0;0;1
orkl;4;0;0;1
"""aUU/ea!u>EGr";13;1;1;5
SZpILdPvcLI;11;1;0;3
OQJkvuVpK;9;1;0;3
51Gdy4REF5;10;1;0;3
GrJ6g9Cj;8;1;0;3
R^]ld8dy-dRqq*=));17;1;1;5
n1PbGn*<SURM$l;14;1;1;5
A/43sV90nQ'Bn#E6ev;18;1;1;5
zzvd;4;0;0;1
3h76LBRK;8;1;0;3
"*/r=*cOpmN/;zB";14;1;1;5
8Um?$_j902yo$/h/]k;18;1;1;5
2`$B?wfGL[!#\$e^&\;18;1;1;5
")"".[rbt>B3\LO";13;1;1;5
.KCzefc_]gM7|/Q;15;1;1;5
cY<!e~%okMp.Tzq%&;17;1;1;5
qr0st66;7;0;0;1
ZqPSqOAIiv;10;1;0;3
ib6hlt4FrC;10;1;0;3
0n4dsY0N;8;1;0;3
DHt3Iuyn;8;1;0;3
hx14;4;0;0;1
r3O7izBg;8;1;0;3
ZbXRVHIN;8;1;0;3
J0^4NA1[cHj3ms$(mx;18;1;1;5
6zoyzqEHx2;10;1;0;3
O!oIGv'^jjEqIa0;15;1;1;5
e5+%pq9'JECaM[9GPz;18;1;1;5
8Vzzbg3lOq;10;1;0;3
EWS9_4VPmWSQ;12;1;1;5
saaa8uc;7;0;0;1
0;17;1;1;5
z4UvZ7ql;8;1;0;3
zhd34;5;0;0;1
uguyqx;6;0;0;1
aCioyetv5h;10;1;0;3
zqsqno;6;0;0;1
i36u;4;0;0;1
t2p9ey;6;0;0;1
080g;4;0;0;1
elRaenefHm;10;1;0;3
"+7""[%G|x_Q^lW45";15;1;1;5
YGwAT1IR6ey;11;1;0;3
nSuro1DXUSP;11;1;0;3
277l3a;6;0;0;1
"d""FdB""%+3;$gqfe3*+";18;1;1;5
",T/p=d-a3S""k]";13;1;1;5
66^mkl{5rm'z-I;14;1;1;5
"""/0V_%v\h^>s7+B7";16;1;1;5
5fK1PzbGiH;10;1;0;3
NB~3/JW2I:N]]+m`;16;1;1;5
v9281x;6;0;0;1
bxmh6;5;0;0;1
701woo;6;0;0;1
r5cd4zn;7;0;0;1
cHPZdR3R0;9;1;0;3
mhk7s;5;0;0;1
E4f1BzmaYe;10;1;0;3
6pvJEvhsh;9;1;0;3
bnwo;4;0;0;1
"3X10k^L8)RCT;p";14;1;1;5
8uAoQiAP;8;1;0;3
"j!6\Ke.69;zRK8agl";17;1;1;5
kymndy0;7;0;0;1
BnGfIKtp;8;1;0;3
jZ8v$dWBu>cni.e;15;1;1;5
IITcs1S4qv;10;1;0;3
nHU0pSoG;8;1;0;3
qoj8k;5;0;0;1
w6e650;6;0;0;1
?Ge#6r1hjuo2mw];15;1;1;5
vqAxk5r1;8;1;0;3
uq1aj57rf;9;0;0;2
"t]""LttNWS2SM";12;1;1;5
WqPPmlxvS;9;1;0;3
)?@0to2JN.C{=Wv![;17;1;1;5
SwbfInrjX;9;1;0;3
SBjGlIcKYmr;11;1;0;3
8XA,fNf!Wc&UkB3-j;17;1;1;5
e10q08;6;0;0;1
%ZBLnIQ{e8O,;12;1;1;5
hvyo6gc;7;0;0;1
]Jd}%?K*d@YGX4NUZ;17;1;1;5
twmkoin;7;0;0;1
oRG24WvUrT;10;1;0;3
d00l;4;0;0;1
kf27q;5;0;0;1
mziptc;6;0;0;1
d0Xo2BxOO;9;1;0;3
3p8yk;5;0;0;1
uejnWYOd;8;1;0;3
"t@iV=c9q~V*+""Dqm";16;1;1;5
6'd.hi5b<)r@/Y;14;1;1;5
peJ6ugRr;8;1;0;3
UOGPe61Y;8;1;0;3
01cKch8g;8;1;0;3
Pugxjhob;8;1;0;3
[]YCcD,ensAP5;13;1;1;5
XAhgjkCC9;9;1;0;3
"!eNA~X;,(,X4>hO~J|";18;1;1;5
6a)%M>kO9lA8m;13;1;1;5
ICShfLANE;9;1;0;3
g|8VrK\Mas5'Ic>z;16;1;1;5
k0qf4;5;0;0;1
']/qpk2v|IV{&JnK;16;1;1;5
fcRHGFh4xX;10;1;0;3
c3TuOrAe;8;1;0;3
altbvm2Gzxw;11;1;0;3
rvlq;4;0;0;1
DuwuDwHoF;9;1;0;3
1wvf5;5;0;0;1
mi?QEgG=oRo#S9sl;16;1;1;5
lIO0dsTBsb;10;1;0;3
SFjpG7eeG;9;1;0;3
wNfPMKYP;8;1;0;3
7ufdjm;6;0;0;1
74ax;4;0;0;1
LUN|WH8~\R3mh;13;1;1;5
scxafa;6;0;0;1
3asy73;6;0;0;1
u31oek3;7;0;0;1
Xga\Jykt2@m6LSAl;16;1;1;5
N:99A']hg[|63]o;15;1;1;5
vjp>lK8MIDPI4;13;1;1;5
UGZwTO}D`:c9lU;14;1;1;5
fSwWqUvnZy;10;1;0;3
wcY7BYeW;8;1;0;3
Hkd3v2zi;8;1;0;3
7dy0x3p;7;0;0;1
t8uoz;5;0;0;1
7ygfy;5;0;0;1
5x59y4;6;0;0;1
"^VzC""#]~-XV9Mnn]=";17;1;1;5
Kq.pl**|6rsW[;13;1;1;5
<[60B<]n3}!e%$)C~;17;1;1;5
oobqojBmu;9;1;0;3
fx4g;4;0;0;1
gFN>X1F24ZJgV37:;16;1;1;5
Sf0pqlTh;8;1;0;3
tx4l2u;6;0;0;1
r5HTxUnodBk;11;1;0;3
"dyR0|lk#Az0g;1;";15;1;1;5
l9uz8a;6;0;0;1
6gmN5E5tBZ.y4PJ*;16;1;1;5
IlIUytAzZRb;11;1;0;3
36HhxdBcW;9;1;0;3
7mem9VPM;8;1;0;3
zxzy6c;6;0;0;1
fuKRF?+pMCB3.ti2N};18;1;1;5
H:mO7GgAsnoi7dt_7&;18;1;1;5
VepA5hGMnw0;11;1;0;3
X]E6)D$O}>f_E;13;1;1;5
V3yv28UWZ;9;1;0;3
$L)Dz8(c|yZv6Y-;15;1;1;5
bKKJRbqBO;9;1;0;3
94wdo;5;0;0;1
IJeV?rS#0lRY%s;14;1;1;5
JkT6tWCpAp;10;1;0;3
wb!L,yi<?/<&t4;14;1;1;5
5jik;4;0;0;1
1g3mu54;7;0;0;1
"u,RC%2""#vV\>F2AU/";17;1;1;5
ngne6ud;7;0;0;1
vCK50rNPStn;11;1;0;3
SZvVr6LU8B9;11;1;0;3
`W^<WfDv8L2r;12;1;1;5
jlfm3c6;7;0;0;1
"{w6^3c<g(j|i""[";14;0;1;4
obsy5xg;7;0;0;1
4i3IZibYLo3;11;1;0;3
70wj;4;0;0;1
LxAc19Fu;8;1;0;3
KDXs2Rab;8;1;0;3
0jdsew;6;0;0;1
Oih8+1(R1Q1N~Vh,u;17;1;1;5
ma6bm;5;0;0;1
9cUBY2u2;8;1;0;3
rpnk;4;0;0;1
4wpk;4;0;0;1
1bviLgaAY3;10;1;0;3
ul26;4;0;0;1
0;12;0;1;4
,wg)9<GPP4UO;12;1;1;5
RDF&@K::*%[3~;13;1;1;5
gOIAs2MvRt;10;1;0;3
Yg89kY1N;8;1;0;3
r7ea5i;6;0;0;1
dc1Cq5lrS;9;1;0;3
iexZq4Bp1w;10;1;0;3
02xt0;5;0;0;1
D?CV,lNlU6S$Uv='Y[;18;1;1;5
K{\SjU00G+3f+Nh_Tl;18;1;1;5
ef*3gFLymo{2vM;14;1;1;5
4wOZ2BWfJ;9;1;0;3
yCyQTC5bX;9;1;0;3
Bpm7'7`_h=d7m;13;1;1;5
"f;[-H\%2Qsh=%S:$1@";18;1;1;5
RaV:0\]=iChd(QO-Z;17;1;1;5
ry5j;4;0;0;1
RArhEuFAi;9;1;0;3
3jhs;4;0;0;1
"8G;gw)}4Xd}h.@Z";15;1;1;5
O6jn32futu;10;1;0;3
e6EHR3CDHT;10;1;0;3
><1EFSk!{BZP&.`X,;17;1;1;5
03eet4qN;8;1;0;3
tahwwzm;7;0;0;1
fr-5$n{1f}!b'tSq|B;18;1;1;5
a5WbMb7G;8;1;0;3
P8}OLQX_Z+wxg;13;1;1;5
7tyd;4;0;0;1
"Py""iPnmy._H0xNg~tk";18;1;1;5
teok;4;0;0;1
2wJDD6pePBz;11;1;0;3
Qhd6GAYlL;9;1;0;3
wIRFHdpMW;9;1;0;3
puu53;5;0;0;1
"q8XY01DK;6Em'mVy;";17;1;1;5
5x9lkym;7;0;0;1
g2cZeiBWeLz;11;1;0;3
hucj4W4PK;9;1;0;3
gyI7uN2Hdk;10;1;0;3
E+1xC[U@m)~ZD<ik2D;18;1;1;5
GT17kRKwI9f;11;1;0;3
hv9de61;7;0;0;1
4rliyr6;7;0;0;1
z7hpg;5;0;0;1
wrezb7r;7;0;0;1
|j_z%iB@gen)Cakw[3;18;1;1;5
oymhfc;6;0;0;1
zEqm1N8e;8;1;0;3
z7pai;5;0;0;1
rBL7dQiw4t5;11;1;0;3
6tigdfPq;8;1;0;3
wUfTlWZm;8;1;0;3
GXBRQHMDZ;9;1;0;3
,GQ0cB@kFq%N;12;1;1;5
r%`D3|'ylA-#;12;1;1;5
?P9P8Dva2K{yJ;13;1;1;5
XDqnc5PjUO;10;1;0;3
O5TSv1tbdX;10;1;0;3
FFxqBH1si;9;1;0;3
uyOhtJ41p2f;11;1;0;3
nj4AkvtnGr;10;1;0;3
"""07n&<0i@AS<";12;1;1;5
R+h/Sso&94,'arF@+6;18;1;1;5
r3etrly;7;0;0;1
"XuJHHNsdC)]';Q";14;1;1;5
RZ1AeWAjj1b;11;1;0;3
"^yL~8_SxxzQ""Id";14;1;1;5
DO]k\a5*Qy3p[?W;15;1;1;5
yibad0d;7;0;0;1
40bbi;5;0;0;1
"H`V)odu/Q[`,r""#hqh";18;1;1;5
c8J98PO7;8;1;0;3
XRYAKOMvXWZ;11;1;0;3
87zd;4;0;0;1
|bM`sZrS9c|Rr]R;15;1;1;5
yoXTW(1{Cs:,gZ@;15;1;1;5
S1gTCMdoihS;11;1;0;3
LrQ7cezOnj;10;1;0;3
9eIgcTgSzM;10;1;0;3
UzGe4OdUTo;10;1;0;3
h3ovb3e;7;0;0;1
0y9j;4;0;0;1
860jdN3P;8;1;0;3
75UvVJWh;8;1;0;3
ov108ty;7;0;0;1
prul;4;0;0;1
hrxpdr;6;0;0;1
xvsai3;6;0;0;1
skW37Ewul;9;1;0;3
^z^}N&1wK89_GOHq;16;1;1;5
ZmKcx7gcQWm;11;1;0;3
"Je%ZpC@hR~4;Z_\oi";17;1;1;5
cx0N5YHZ;8;1;0;3
ywSVa3ajU;9;1;0;3
YEB69RuA;8;1;0;3
";\M}qDW&wgb<1xr9";16;1;1;5
8zoj8j;6;0;0;1
"O)jPS""Z+%yZR5>";14;1;1;5
"AT""O/&ek=!*EJNv!2E";18;1;1;5
>YwoEjS+-vR3[<z}W';18;1;1;5
KFW52iFH3p;10;1;0;3
`RWzh<D90?v_P,;14;1;1;5
ut4g;4;0;0;1
PtYTkIN5B;9;1;0;3
HoDBBtcJ3Uj;11;1;0;3
CY3Z47ETb;9;1;0;3
hdHj_Ig1)ByaJV(3+d;18;1;1;5
zQ16%Ty{@4KKhJ.;15;1;1;5
TH'%oN+YueO~,iH;15;1;1;5
NRkZiJRR;8;1;0;3
L1j07SfJ;8;1;0;3
r!sUr3Y<Ow1u9-B](;17;1;1;5
RSy1EA5o;8;1;0;3
4dae2;5;0;0;1
39a9dtqv;8;0;0;2
Y6sxIIBzor;10;1;0;3
3v220;5;0;0;1
7m8y;4;0;0;1
"v!?g)DOyTc$^_;";14;1;1;5
bdiaq;5;0;0;1
xelLmdKb;8;1;0;3
"g%j?\xsY;&t|";12;1;1;5
BSJ2vQTV6mw;11;1;0;3
@,d:n#-vTlMkL=Y;15;1;1;5
"YseILEX#I:""n|T)";15;1;1;5
bQt5QhD4z0g;11;1;0;3
Zt79cTJ6V5;10;1;0;3
7opO2Ay3lSi;11;1;0;3
htpJEJXFLKh;11;1;0;3
"}33E!E;!N_8]eLPX,";17;1;1;5
dz20n;5;0;0;1
ll6y8d;6;0;0;1
g7_T*r#O8>oa{;13;1;1;5
"WPb{AswZr,9;";12;1;1;5
g1clq;5;0;0;1
Xm1YTC6eCh;10;1;0;3
te3RRRhn;8;1;0;3
xr6fx;5;0;0;1
h9xtiDdd6z7;11;1;0;3
k09n;4;0;0;1
mil64se;7;0;0;1
wfsmNbYB;8;1;0;3
23m4bo0;7;0;0;1
uoV2fqe0;8;1;0;3
8XZtrhZH;8;1;0;3
Y69gCYhtPK;10;1;0;3
rai5qa3;7;0;0;1
HzaXFuAN2;9;1;0;3
d3NwqGJPck;10;1;0;3
fUtrRq6XW;9;1;0;3
?JB0t0]a[+IhLZy_F;17;1;1;5
[qiLdNP}BIbZ1]k';16;1;1;5
2uvyn;5;0;0;1
5z9ygd;6;0;0;1
0iFsyVAim(GOlz52du;18;1;1;5
2vbi3s;6;0;0;1
z1pBHJaoanW;11;1;0;3
7F8LnxOj1;9;1;0;3
wUAnv46dj;9;1;0;3
fann1;5;0;0;1
ZC07n!Lq~`b]O=Q>,J;18;1;1;5
kzt6f1l;7;0;0;1
cXBFRmkdr;9;1;0;3
ppbdQaNm3x;10;1;0;3
sm14;4;0;0;1
B3Bnqjhwv;9;1;0;3
QyD4dlkCYE;10;1;0;3
fuhoex;6;0;0;1
0CYtxhgJ;8;1;0;3
wJG4zXBoDUt;11;1;0;3
e22wDI9hR;9;1;0;3
bt7qi97;7;0;0;1
ytcjUhnc2s;10;1;0;3
aoz2;4;0;0;1
awawn;5;0;0;1
rhyvT3sU;8;1;0;3
"xQDZU&Xt?&y""FOM";15;1;1;5
02ch;4;0;0;1
YQ843AY7XJ;10;1;0;3
j5K5szXA;8;1;0;3
iyieh1y;7;0;0;1
refof2;6;0;0;1
NjPcI25h;8;1;0;3
jh0qcd;6;0;0;1
e06aj4l;7;0;0;1
nDTgN00Mfl;10;1;0;3
a4lh;4;0;0;1
jr7m;4;0;0;1
lDCE#SvEDXti[NM,V;17;1;1;5
30qq0r4;7;0;0;1
v)c-7\:zil,68GeCQ;17;1;1;5
"K@Pn<""!;RDqf[q4y";16;1;1;5
r2lvu1;6;0;0;1
930d;4;0;0;1
q69m;4;0;0;1
"-k(s537""R2Vd.";13;1;1;5
px6J2zY5sc;10;1;0;3
4isasm;6;0;0;1
XRAwk1dO99;10;1;0;3
apYfeB5E5rn;11;1;0;3
Dhd9DNuaJQB;11;1;0;3
)<f`4Jw<cC@z';13;1;1;5
wpVt$uZ.\D`XF#;14;1;1;5
M1L18ua68I;10;1;0;3
DN8C5Tu7mZN;11;1;0;3
1h1vq6v29Gb;11;1;0;3
9muv3;5;0;0;1
FEI('`kDJp4Q(=qv];17;1;1;5
nu48h1;6;0;0;1
82wSvuJ4j;9;1;0;3
fLW/\'X))`LB5b@[o;17;1;1;5
nU0agu6tLMD;11;1;0;3
llemh;5;0;0;1
y93rn1x;7;0;0;1
VqRMi2yP6wf;11;1;0;3
x5op20g;7;0;0;1
WAgtv+JjK[ds;12;1;1;5
krJx8ygz;8;1;0;3
bSXEXNBe11;10;1;0;3
wT)f[D+fo`Fz(p&W&$;18;1;1;5
K|?0V/cV%Uov5!sVbZ;18;1;1;5
qc7nk;5;0;0;1
cs~lF@'.,w7yZ6T6;16;1;1;5
9CoFpcyA5CI;11;1;0;3
SDFONUhD;8;1;0;3
`%U?MJbQO>G#q>!yEU;18;1;1;5
<'ef/9s0}:uF~J=pJ};18;1;1;5
d0dUGQgTB;9;1;0;3
u9si0o;6;0;0;1
\6*L7xZ25Yp=bd1)G;17;1;1;5
7iSKnNFBCl;10;1;0;3
BXrLTPP0Q;9;1;0;3
YFJr=vEvGZK23(;14;1;1;5
8d5u54t;7;0;0;1
o85ejau;7;0;0;1
WKfULhNV;8;1;0;3
aNsJ1MB1H;9;1;0;3
p5hg;4;0;0;1
ravhcq;6;0;0;1
YhnyZ3lHb;9;1;0;3
".>2""$2in5UR=W";13;1;1;5
oQ4*y_pa&}<.%S;14;1;1;5
XEK0t3jfX;9;1;0;3
hir1w72;7;0;0;1
5_$]@clV{5n[$;13;1;1;5
ptqkVWLxa;9;1;0;3
A715thHRFb;10;1;0;3
SNGKV3bkqKm;11;1;0;3
x9mZSpNRj5;10;1;0;3
zqs0qb;6;0;0;1
o1h0;4;0;0;1
HjxNqXEo;8;1;0;3
NG2xn0BYqN;10;1;0;3
zfwk;4;0;0;1
4rIFGpqX;8;1;0;3
enkbuDGv0jS;11;1;0;3
Fvzb2x3Gw;9;1;0;3
O\gtN*)K[4<3;12;1;1;5
,xw'{U.4SFqk>qdo;16;1;1;5
2ZFfzbmC;8;1;0;3
86aa;4;0;0;1
"TK""vKPjLlxNH!*5e{";17;1;1;5
04ai;4;0;0;1
c4U5rmT63;9;1;0;3
1zcajqf;7;0;0;1
308G36jxJ;9;1;0;3
P-PW<w<lGTn1X;13;1;1;5
869zso;6;0;0;1
sik3t;5;0;0;1
dzHaaEvO;8;1;0;3
u5q4n1;6;0;0;1
lKL7fiZlMyL;11;1;0;3
ijqJIFhjbZf;11;1;0;3
0;15;1;1;5
6ikve8;6;0;0;1
r97gw9Fq4r;10;1;0;3
cD1nvV22;8;1;0;3
fcw4e;5;0;0;1
P~99q!/un.De;12;1;1;5
uQObHyiu9;9;1;0;3
sz182c;6;0;0;1
wth2td;6;0;0;1
{W`)D*hVW!Bx!LQ-[;17;1;1;5
3HTExfzGvwz;11;1;0;3
AdqvB7UJnn;10;1;0;3
QEd1AyTUoK;10;1;0;3
wqyj;4;0;0;1
_V5.gXOt[t.XC,;14;1;1;5
mmc7;4;0;0;1
Uem39gEhC;9;1;0;3
3k2ZUV2buE;10;1;0;3
"8n7{*T&A""%4#}C4%B";17;1;1;5
u(OlE=+xaSH7f_r;15;1;1;5
NGxWyQ1+YlpmM;13;1;1;5
QhpeEiay92;10;1;0;3
As4N1QUsA;9;1;0;3
NIL6sLzf8KC;11;1;0;3
2kYDXP0JO;9;1;0;3
jHHNRuCoyg;10;1;0;3
AusegjO08)NPV[uK?;17;1;1;5
zvg13f0;7;0;0;1
PW:yWM+8C.x_j2;14;1;1;5
wpiCVeuag;9;1;0;3
nkhz;4;0;0;1
raqg7;5;0;0;1
jgmkko;6;0;0;1
"Q!Ur.^P;$O&L";12;1;1;5
TpkUGVit;8;1;0;3
"r)U2omvP}w""ABZEL";16;1;1;5
zOvB77wkgs;10;1;0;3
p=US,&d|T-bLxRc1(;17;1;1;5
9WsLDoYReq;10;1;0;3
+}i_ei3m6KLrA_yZlR;18;1;1;5
KGt4sSbolCy;11;1;0;3
yvGVQl5j4;9;1;0;3
vdol3vex;8;0;0;2
7w0ne6fy;8;0;0;2
b71yxGTSsOT;11;1;0;3
dNyVJagU;8;1;0;3
qhKJ0wAvP;9;1;0;3
N0gjg8DwDBk;11;1;0;3
RMFcsAMjfIi;11;1;0;3
Rpie!(/jS+.hS0$2#~;18;1;1;5
37zgwb1;7;0;0;1
NnBuWcsd1;9;1;0;3
dFLImAxxPz;10;1;0;3
s8oa0zpUs;9;1;0;3
io8nbt;6;0;0;1
",#\6kZ*N,m_8a""%0d";17;1;1;5
ND3DN*5&zn!Wd/Fvq7;18;1;1;5
5aX8cAoZJd;10;1;0;3
8k33;4;0;0;1
"+=nQ""#d@XnrJ?R4";15;1;1;5
FZz6ibZya;9;1;0;3
o7iwoVfx;8;1;0;3
yyup;4;0;0;1
e7w5K0vyYf;10;1;0;3
v773;4;0;0;1
"""~=<>Q$f}&|?d`Y)C";17;1;1;5
52la66s;7;0;0;1
dT7WTYTtA2D;11;1;0;3
R2^X(Qt'EEG7Y;13;1;1;5
"P=""mC'\mB.Dfb2lT";16;1;1;5
H09Ef8nLN;9;1;0;3
flos;4;0;0;1
CV2nihNl5;9;1;0;3
,daNc,Yz)rbx;12;1;1;5
ZuRN9bAW;8;1;0;3
z2d79vj;7;0;0;1
p3^b`<j#9m_=^;13;0;1;4
o5g]$(DZ$,48P;13;1;1;5
asmAOeEM;8;1;0;3
/'c|RomUZ`}JenvS;16;1;1;5
"2AII\Or=%NXK8?f#-;";18;1;1;5
tuyk;4;0;0;1
jtSRn3R9I15;11;1;0;3
%?]~s+|2DuKrx;13;1;1;5
UzMv1LGB?TQ*w;13;1;1;5
PkPE3sMQO3;10;1;0;3
!Ml+-+Mk5K=TV;13;1;1;5
QA[P6dxr_9kgY;13;1;1;5
n7blgy4;7;0;0;1
y5ts;4;0;0;1
n8to0w;6;0;0;1
AhzCXl8nc;9;1;0;3
7f78r;5;0;0;1
"yv`gdk?~;N^8{3Qw\";17;1;1;5
hChi`aj,5G=pP.nq1;17;1;1;5
"w:88d}#nt;""l$";13;0;1;4
4y0j;4;0;0;1
"no^[k#&xBsMdFepG;L";18;1;1;5
mz%.SFsSY|*C(M2*W;17;1;1;5
wNiJ7RMj3;9;1;0;3
Yd8lDwtu;8;1;0;3
OdMjQW6ZL;9;1;0;3
6z2x;4;0;0;1
7c7avNnkVW;10;1;0;3
gDAgJfq2JF;10;1;0;3
le5LDE1AmS;10;1;0;3
"iZ%*z}v2P1;B{c>o,";17;1;1;5
k3d94;5;0;0;1
LFu<Q}oJ:K9l;12;1;1;5
"pU9SqB8gCz0O;H>L";16;1;1;5
z016qcn;7;0;0;1
uNEoV5m1p;9;1;0;3
8+#b_szPlM9|>5C;15;1;1;5
6e3nw;5;0;0;1
"!AmFt='&"",x$O=";14;1;1;5
M<<&pSbz]F3ey;13;1;1;5
CPsubGtWXG;10;1;0;3
jqJau1pEQG;10;1;0;3
w5!VgZbrA5z:;12;1;1;5
RdR[~zB{5,T0;12;1;1;5
i7la;4;0;0;1
Db1jcq5J;8;1;0;3
";>BC/<ZXFmQg;";13;1;1;5
G05EV6IUiCP;11;1;0;3
UiLhZcMSkDI\-<;14;1;1;5
OAGFV1XpjUz;11;1;0;3
DZGJ3tGdBK;10;1;0;3
SCeoV71U4;9;1;0;3
nte3;4;0;0;1
cl63@<\?qBtj%qGC;16;1;1;5
q2zg;4;0;0;1
ZHJKHXpB;8;1;0;3
v@{HQ*Jr%^]-,P0mFI;18;1;1;5
6qpki2v;7;0;0;1
4FhVFBmuF4x;11;1;0;3
t2oywo;6;0;0;1
b0b734;6;0;0;1
"<]N#pWw/oO:hO;cNw";17;1;1;5
uul6;4;0;0;1
o6sod;5;0;0;1
Ifo|6%nhrAxdyH]Y;16;1;1;5
kDukzwUL;8;1;0;3
9KQY2aUPAc;10;1;0;3
VBqns]:,Dq|.x}7#;16;1;1;5
mlj0;4;0;0;1
4aqk0;5;0;0;1
'/`#q6~ANq2x;12;1;1;5
.0J/^!XsaV5d:'4>;16;1;1;5
dhr4p;5;0;0;1
Etttqu87k;9;1;0;3
